"YEAR","MONTH","LIP","LCPI","NEER","GS3M","GS6M","GS1","GS3"
2002,1,408.941535720431,406.479809644529,388.931719846442,8.84857142857143,8.69142857142857,8.41761904761905,7.60904761904762
2002,2,414.638763795856,407.491196268222,388.909421796391,8.412,8.31,8.1175,7.48
2002,3,413.52498935481,408.243079509625,389.389434242208,8.36833333333333,8.33388888888889,8.26277777777778,7.80944444444444
2002,4,413.204476259916,409.113190654899,388.674795833505,8.373,8.35,8.3075,7.8705
2002,5,411.586317974792,409.607018818957,388.76408745418,8.66,8.751,8.794,8.4125
2002,6,412.882932574518,409.113190654899,387.986752018987,8.894,9.075,9.2795,8.8885
2002,7,414.638763795856,408.989351629784,389.084321203818,9.2804347826087,9.41043478260869,9.5595652173913,9.31652173913043
2002,8,413.043833655088,408.741212544646,388.509156536199,9.4755,9.6055,9.6835,9.3065
2002,9,415.11232427044,409.360409569438,388.113238782827,9.46190476190476,9.62571428571429,9.68523809523809,9.23714285714286
2002,10,411.095720097906,409.853021403043,387.845197617862,9.42380952380952,9.55809523809524,9.57904761904762,9.05714285714286
2002,11,415.426789938387,409.853021403043,385.872877865962,8.81095238095238,8.7952380952381,8.66666666666667,8.1047619047619
2002,12,416.98445383126,409.975796126876,384.874510690068,8.0478947368421,7.95315789473684,7.7,7.37526315789474
2003,1,415.269680715183,411.195323436257,385.85947741934,6.70428571428571,6.82666666666667,6.82095238095238,6.88952380952381
2003,2,414.796866595588,411.919964288334,387.241339839767,5.446,5.759,6.1735,6.5715
2003,3,417.293096051579,412.758794850998,387.064148753229,6.21809523809524,6.31190476190476,6.37809523809524,6.62190476190476
2003,4,416.208654750166,412.87805544951,387.003247684084,6.24333333333333,6.32666666666667,6.38142857142857,6.49761904761905
2003,5,415.896642016542,413.116150800084,386.525078090445,6.2315,6.247,6.2145,6.1225
2003,6,418.973807883217,413.353680602975,391.5388940761,7.9245,7.8375,7.6905,7.415
2003,7,419.276379974871,413.590647538507,392.673376763999,9.29347826086956,9.20695652173913,8.68782608695652,8.18434782608696
2003,8,422.691708207393,413.353680602975,391.429753291682,9.3555,9.276,8.999,8.378
2003,9,421.072835472401,413.94504838198,390.073061399341,9.175,9.11454545454546,8.76090909090909,8.01681818181818
2003,10,421.959104198186,414.650104181646,389.785309030087,9.3347619047619,9.19714285714286,8.74238095238095,8.18285714285714
